"Environment and Electrical Engineering (EEEIC), 2016 IEEE 16th International Conference on",6
"Global Communications Conference (GLOBECOM), 2014 IEEE",6
IECON 2012 - 38th Annual Conference on IEEE Industrial Electronics Society,6
"Communications (ICC), 2015 IEEE International Conference on",6
"Advances in Power System Control, Operation and Management (APSCOM 2012), 9th IET International Conference on",6
IEEE Transactions on Applied Superconductivity,6
IEEE Sensors Journal,6
"Innovative Smart Grid Technologies (ISGT), 2011 IEEE PES",6
"Innovative Smart Grid Technologies - India (ISGT India), 2011 IEEE PES",6
"Innovative Smart Grid Technologies - Middle East (ISGT Middle East), 2011 IEEE PES Conference on",6
"Power and Energy Engineering Conference (APPEEC), 2011 Asia-Pacific",6
"Power and Energy Engineering Conference (APPEEC), 2013 IEEE PES Asia-Pacific",6
Journal of Communications and Networks,6
"Smart Grid and Renewable Energy (SGRE), 2015 First Workshop on",6
"Power Systems Conference and Exposition (PSCE), 2011 IEEE/PES",6
"Smart Grid Conference (SGC), 2013",6
"Transportation Electrification Asia-Pacific (ITEC Asia-Pacific), 2014 IEEE Conference and Expo",6
