"Transportation Electrification Asia-Pacific (ITEC Asia-Pacific), 2014 IEEE Conference and Expo",24
"Smart Grid and Clean Energy Technologies (ICSGCE), 2015 International Conference on",24
IEEE Communications Surveys & Tutorials,23
"Electricity Distribution (CICED), 2010 China International Conference on",23
"Electricity Distribution (CICED), 2014 China International Conference on",23
"Power Systems Computation Conference (PSCC), 2016",23
"Transmission and Distribution Conference and Exposition, 2010 IEEE PES",22
"Electricity Distribution - Part 1, 2009. CIRED 2009. 20th International Conference and Exhibition on",22
"Power and Energy Engineering Conference (APPEEC), 2011 Asia-Pacific",22
"Power Engineering Conference (UPEC), 2014 49th International Universities",22
"Innovative Smart Grid Technologies Conference (ISGT), 2014 IEEE PES",22
"Power Electronics and Drive Systems (PEDS), 2013 IEEE 10th International Conference on",21
"Innovative Smart Grid Technologies - Middle East (ISGT Middle East), 2011 IEEE PES Conference on",21
"Control Conference (CCC), 2014 33rd Chinese",21
"Energy Conference and Exhibition (ENERGYCON), 2012 IEEE International",20
"Renewable Energy Research and Application (ICRERA), 2014 International Conference on",20
"Environment and Electrical Engineering and 2017 IEEE Industrial and Commercial Power Systems Europe (EEEIC / I&CPS Europe), 2017 IEEE International Conference on",20
"Energy Conversion Congress and Exposition (ECCE), 2015 IEEE",20
"Communications (ICC), 2015 IEEE International Conference on",20
"Innovative Smart Grid Technologies (ISGT), 2011 IEEE PES",20
"INFOCOM, 2013 Proceedings IEEE",20
"PowerTech, 2017 IEEE Manchester",20
"Innovative Smart Grid Technologies (ISGT Latin America), 2011 IEEE PES Conference on",19
IEEE Latin America Transactions,19
"Industrial Electronics Society, IECON 2015 - 41st Annual Conference of the IEEE",19
"Power Electronics, Electrical Drives, Automation and Motion (SPEEDAM), 2014 International Symposium on",19
IECON 2012 - 38th Annual Conference on IEEE Industrial Electronics Society,19
"Universities Power Engineering Conference (UPEC), 2010 45th International",18
"Global Communications Conference (GLOBECOM), 2014 IEEE",18
IEEE Transactions on Parallel and Distributed Systems,18
"Smart Grid Conference (SGC), 2013",18
"Probabilistic Methods Applied to Power Systems (PMAPS), 2016 International Conference on",18
"ICT Convergence (ICTC), 2013 International Conference on",18
"Power Engineering Conference (UPEC), 2013 48th International Universities''",18
"Computer Science and Network Technology (ICCSNT), 2015 4th International Conference on",18
IEEE Transactions on Intelligent Transportation Systems,17
"Control Conference (CCC), 2017 36th Chinese",17
"Emerging Technologies and Factory Automation (ETFA), 2016 IEEE 21st International Conference on",17
IEEE Journal of Emerging and Selected Topics in Power Electronics,16
"Smart Electric Distribution Systems and Technologies (EDST), 2015 International Symposium on",16
"High Voltage Engineering and Application (ICHVE), 2016 IEEE International Conference on",16
Journal of Communications and Networks,16
"Computational Intelligence Applications In Smart Grid (CIASG), 2011 IEEE Symposium on",16
"Intelligent Control and Automation (WCICA), 2014 11th World Congress on",16
"Power Engineering Conference (UPEC), 2015 50th International Universities",16
"Universities Power Engineering Conference (UPEC), 2012 47th International",16
"Renewable Power Generation Conference (RPG 2013), 2nd IET",16
"Critical Infrastructure (CRIS), 2010 5th International Conference on",15
"Industrial Electronics Society, IECON 2014 - 40th Annual Conference of the IEEE",15
"Telecommunications Energy Conference ''Smart Power and Efficiency'' (INTELEC), Proceedings of 2013 35th International",15
"North American Power Symposium (NAPS), 2016",15
"Smart Grid and Renewable Energy (SGRE), 2015 First Workshop on",15
"Applied Superconductivity and Electromagnetic Devices (ASEMD), 2015 IEEE International Conference on",15
"PowerTech, 2011 IEEE Trondheim",15
"Complex, Intelligent, and Software Intensive Systems (CISIS), 2015 Ninth International Conference on",15
"Systems Conference (SysCon), 2014 8th Annual IEEE",15
"Energy Conversion Congress and Exposition (ECCE), 2014 IEEE",15
"Power Symposium (NAPS), 2017 North American",14
"Innovative Smart Grid Technologies - India (ISGT India), 2011 IEEE PES",14
"Power Systems Conference (PSC), 2016 Clemson University",14
"Smart Grid Congress and Fair (ICSG), 2016 4th International Istanbul",14
"SICE Annual Conference (SICE), 2013 Proceedings of",14
"Power Engineering, Energy and Electrical Drives (POWERENG), 2013 Fourth International Conference on",14
"Modeling and Simulation of Cyber-Physical Energy Systems (MSCPES), 2015 Workshop on",14
"Power and Energy Engineering Conference (APPEEC), 2012 Asia-Pacific",14
"Global Telecommunications Conference (GLOBECOM 2011), 2011 IEEE",14
TENCON 2013 - 2013 IEEE Region 10 Conference (31194),14
"Future Energy Electronics Conference and ECCE Asia (IFEEC 2017 - ECCE Asia), 2017 IEEE 3rd International",13
"Power Generation, Transmission, Distribution and Energy Conversion (MedPower 2016), Mediterranean Conference on",13
IET Cyber-Physical Systems: Theory & Applications,13
"Communications in China - Workshops (CIC/ICCC), 2015 IEEE/CIC International Conference on",13
"Computational Intelligence Applications in Smart Grid (CIASG), 2014 IEEE Symposium on",13
"GLOBECOM Workshops (GC Wkshps), 2011 IEEE",13
"Smart Energy Grid Engineering (SEGE), 2017 IEEE International Conference on",13
